category,text
sport,uefa approves fake grass uefa says it will allow european matches to be played on artificial pitches from the start of next season.  european football s governing body made the decision at a meeting of its executive committee on wednesday. uefa explained that the move  follows comprehensive studies into the sporting and medical aspects of using artificial playing surfaces.  they can be used subject to complying with uefa quality criteria but there use will not be made obligatory. luton  preston  queens park rangers and other clubs used to have plastic pitches during the the 1980s but  after a two-year study  uefa insists the surfaces have moved on. international matches can also be played on such pitches  although games at major tournaments have to be contested on grass. uefa spokesman rob faulkner said:  people in england have bad memories of the artificial pitches of luton and qpr in the 1980s  but the latest generation are completely different and are much more like grass.  we have sanctioned its use from the start of next season but only as long as it is the latest generation of artificial turf and meets a whole series of standards.  several leading clubs from scandinavia  russia and eastern europe - especially those who only play champions league or uefa cup matches in winter - are now expected to instal artificial pitches.
politics,drive to  save  festive holidays efforts are being made to  protect  workers  days off on christmas day and new year s day.  support is being sought for a bill which would ensure that large retailers in scotland remain closed on christmas day and 1 january. the usdaw trade union said shop workers should be able to enjoy a break with their families. msp karen whitefield wants to ensure only those whose roles are essential are at work over the festive season. in recent years  more stores have been opening on traditional holidays  with some starting their end-of-year sale on christmas day or new year s day. ms whitefield said:  i have found members of the public to be very supportive when i have been campaigning on the streets.   the early evidence shows quite clearly that the vast majority of people believe that shop workers should be given these two special days to spend with friends and family.  usdaw general secretary john hannett added:  christmas day and new year s day are special days for everyone in scotland and the fact that shops do not open is an important part of making them special. they are largely collective days of rest.  we want people to tell karen  through her consultation  whether they want the special nature of these days to remain  or whether they want them to become like any other trading day  with shops open for business as usual.  the consultation on a christmas & new year s day trading bill has so far attracted almost 500 responses and closes on 7 february.
tech,sony psp tipped as a  must-have  sony s playstation portable is the top gadget for 2005  according to a round-up of ultimate gizmos compiled by stuff magazine.  it beats the ipod into second place in the top ten essentials list which predicts what gadget-lovers are likely to covet this year. owning all 10 gadgets will set the gadget lover back £7 455. that is £1 000 cheaper than last year s list due to falling manufacturing costs making gadgets more affordable.  portable gadgets dominate the list  including sharp s 902 3g mobile phone  the pentax optio sv digital camera and samsung s yepp yh-999 video jukebox.   what this year s essentials shows is that gadgets are now cheaper  sexier and more indispensable than ever. we ve got to the point where we can t live our lives without certain technology   said adam vaughan  editor of stuff essentials. the proliferation of gadgets in our homes is inexorably altering the role of the high street in our lives thinks mr vaughan.  take digital cameras  who would now pay to develop an entire film of photos  or legitimate downloads  who would travel miles to a record shop when they could download the song in minutes for 70p   he asks. next year will see a new set of technologies capturing the imaginations of gadget lovers  stuff predicts. the xbox 2  high-definition tv and mp3 mobiles will be among the list of must-haves that will dominate 2006  it says. the spring launch of the psp in the uk is eagerly awaited by gaming fans.
tech,casual gaming to  take off  games aimed at  casual players  are set to be even bigger in 2005  according to industry experts.  easy-to-play titles that do not require too much time and that are playable online or downloadable to mobile devices will see real growth in the coming year. the trend shows that gaming is not just about big-hitting  games console titles  which appeal more to  hardcore  gamers  said a panel of experts. they were speaking before the annual consumer electronics show in las vegas which showcases the latest trends in gadgets and technologies for 2005. the panel also insisted that casual gamers were not just women  a common misconception which pervades current thinking about gamer demographics.  casual games like poker  pool  bridge  bingo and puzzle-based titles  which can be played online or downloaded onto mobile devices  were  gender neutral  and different genres attracted different players.  greg mills  program director at aol  said its figures suggested that sports-based games attracted 90% of 18 to 24-year-old males  while puzzle games were played by 80% of females. games like bridge tended to attract the over-50 demographic of gamers.  but hardcore gamers who are more attracted to blockbuster gamers which usually require hi-spec pcs  like half-life 2  or halo 2 on xbox  also liked to have a different type of gaming experience.  when hardcore gamers are not playing halo  they are playing poker and pool  based on our research   said geoff graber  director of yahoo games  which attracts about 12 million gamers a month.  with the growth of powerful pc technology and ownership  broadband take-up  portable players and mobile devices  as well as interactive tv  casual gaming is shaping up to be big business in 2005  according to the panel. the focus for the coming year should be about attracting third-party developers into the field to offer more innovative and multiplayer titles  they agreed.  we are at a time where we are on the verge of something much bigger   said mr graber.  casual games will get into their stride in 2005  will be really big in 2006 and will be about community.  with more people finding more to do with their gadgets and high-speed connections  casual games would start to open up the world of gaming as a form of mass-market entertainment to more people. key to these types of titles is the chance they give people who may not see themselves as gamers to dip in and out of games when they liked.  portal sites which offer casual games  like aol  yahoo  and realarcade  as well as other games-on-demand services  allow people to build up buddy lists so they can return and play against the same people. this aspect of  community  is crucial for gamers who just want to have quick access to free or cheap games without committing long periods of time immersed in £30 to £40 console or pc titles  said the panel. about 120 000 people are expected to attend the ces trade show which stretches over more than 1.5 million square feet and which officially runs from 6 to 9 january. the main theme is how new devices are getting better at talking to each other  allowing people to enjoy digital content  like audio  video and images  when they want  and where they want.
tech,security warning over  fbi virus  the us federal bureau of investigation is warning that a computer virus is being spread via e-mails that purport to be from the fbi.  the e-mails show that they have come from an fbi.gov address and tell recipients that they have accessed illegal websites. the messages warn that their internet use has been monitored by the fbi s internet fraud complaint center. an attachment in the e-mail contains the virus  the fbi said. the message asks recipients to click on the attachment and answer some questions about their internet use. but rather than being a questionnaire  the attachment contains a virus that infects the recipient s computer  according to the agency. it is not clear what the virus does once it has infected a computer. users are warned never to open attachment from unsolicited e-mails or from people they do not know.   recipients of this or similar solicitations should know that the fbi does not engage in the practice of sending unsolicited e-mails to the public in this manner   the fbi said in a statement. the bureau is investigating the phoney e-mails. the agency earlier this month shut down fbi.gov accounts  used to communicate with the public  because of a security breach. a spokeswoman said the two incidents appear to be unrelated.
tech,iran jails blogger for 14 years an iranian weblogger has been jailed for 14 years on charges of spying and aiding foreign counter-revolutionaries.  arash sigarchi was arrested last month after using his blog to criticise the arrest of other online journalists. mr sigarchi  who also edits a newspaper in northern iran  was sentenced by a revolutionary court in the gilan area. his sentence  criticised by human rights watchdog reporters without borders  comes a day after an online  day of action  to secure his release. iranian authorities have recently clamped down on the growing popularity of weblogs  restricting access to major blogging sites from within iran. a second iranian blogger  motjaba saminejad  who also used his website to report on bloggers  arrests  is still being held.  a spokesman for reporters without borders  which tracks press freedom across the globe  described mr sigarchi s sentence as  harsh  and called on iranian president mohammed khatami to work to secure his immediate release.  the authorities are trying to make an example of him   the organisation said in a statement.   by handing down this harsh sentence against a weblogger  their aim is to dissuade journalists and internet-users from expressing themselves online or contacting foreign media.  in the days before his arrest mr sigarchi gave interviews to the bbc persian service and the us-funded radio farda. iranian authorities have arrested about 20 online journalists during the current crackdown. they accused mr sigarchi of a string of crimes against iranian state  including espionage  insulting the founder of iran s islamic republic  ayatollah ruhollah khomenei  and current supreme leader ayatollah ali khamenei. mr sigarchi s lawyer labelled the revolutionary court  illegal and incompetent  and called for a retrial in a public court.  mr sigarchi was sentenced one day after an online campaign highlighted his case in a day of action in defence of bloggers around the world.  the committee to protect bloggers designated 22 february 2005 as free mojtaba and arash day. around 10 000 people visited the campaign s website during the day. about 12% of users were based in iran  the campaign s director told the bbc news website. curt hopkins said mr sigarchi s sentence would not dent the resolve of bloggers joining the campaign to help highlight the case.  the eyes of 8 million bloggers are going to be more focused on iran since sigarchi s sentence  not less.  the mullahs won t be able to make a move without it be spread across the blogosphere.
politics,debate needed  on donations cap a cap on donations to political parties should not be introduced yet  the elections watchdog has said.  fears that big donors can buy political favours have sparked calls for a limit. in a new report  the electoral commission says it is worth debating a £10 000 cap for the future but now is not the right time to introduce it. it also says there should be more state funding for political parties and candidates should be able to spend more on election campaigning.  there were almost £68m in reported donations to political parties in 2001  2002 and 2003  with nearly £12m of them from individual gifts worth more than £1m. the rules have already been changed so the public can see who gives how much to the parties but the report says there are still public suspicions. the commission says capping donations would mean taxpayers giving parties more cash - something which would first have to be acceptable to the public and shown to work.  while we are not in principle opposed to the introduction of a donation cap  we do not believe that such a major departure from the existing system now would be sensible   says its report. if there was to be a cap  it should be £10 000 - a small enough amount to make a difference but which would have banned £56m in donations between 2001 and 2003.  even without changes the commission does urge political parties to seek out more small-scale donations and suggests there should be income tax relief for gifts under £200. it also suggests increasing state funding for parties to £3m so help can be extended to all parties with at least two members in the house of commons  european parliament  scottish parliament  welsh assembly or northern ireland assembly. and it suggests new ways of boosting election campaigning  seen as a way of improving voter turnout. all local election candidates should be entitled to a free mailshot for campaign leaflets  says the watchdog. and there should be a shift in the amount of money allowed to be spent at elections from a national level to a local level to help politicians engage better with voters.  the report suggests doubling the money which can be spent by candidates  while cutting national spending limits from £20m to £15m. the commission also says the spending limits for general elections should cover the four months before the poll - as happens with other elections. electoral commission chairman sam younger said:  there is no doubt that political parties have a vital role to play in maintaining the health of our democracy and for this they need to be adequately resourced.  our research has shown that people want to be more informed about party politics and that they want politicians to be more visible and accessible.  the public are reluctant for the state to fund parties but at the same time are unhappy with large private donations.  he called for a wider public debate on party funding to find the consensus needed for radical changes to the current system.
sport,collins named uk athletics chief uk athletics has ended its search for a new performance director by appointing psychologist dave collins.  collins  who worked with the british teams at the 2000 and 2004 olympics  takes over from max jones. six candidates were interviewed for the job  including denise lewis  coach charles van commenee and former british triple jumper keith connor.  we ve searched long and hard to ensure we have found the right person   said uka chief executive david moorcroft.  we have thoroughly tested the candidates. i believe david will make a great leader and i have great faith in what he will achieve.  collins said:  it s a great challenge. over the next few months i will spend time listening to those who already make a significant contribution to athletics and other elite sports in the uk.  collins  who has worked with javelin thrower steve backley in the past  started his career as a royal marine before becoming a pe teacher. he is currently professor of physical education and sport performance at edinburgh university  where he helps competitors across many sports  including rugby  athletics  judo and football.  he has specialised in helping competitors fulfil their potential through psychology and has worked with the great britain women s curling team  who won gold at the 2002 winter olympics. mark lewis-francis sought collins  advice in athens when he was looking for inspiration before he ran the final leg of britain s surprise triumph in the 4x100m relay. collins has played rugby at regional level  was captain of the great britain american football team  and competed at national level in judo and karate. he arrives with british athletics at a crossroads. despite kelly holmes  golden double and the success of the sprint relay squad  the gb team failed to live up to expectations in athens. many older competitors have retired or are coming to the end of their careers  and britain failed to win a single medal at the world junior championships in italy this year. collins will not have day-to-day coaching contact with the athletes  but will be expected to make changes to the system and coaching set-up in order to secure medals at the beijing olympics in 2008. the appointment of a new performance director was one of the main recommendations in sir andrew foster s review of the sport  which was published in may. it was commissioned by uk sport and sport england  which wanted uk athletics to justify funding of more than £40m from the government following the failure to hang on to the 2005 world championships  which are now being held in helsinki. van commenee dropped out of the selection process to take on the same role with the dutch olympic committee  while connor s application was rejected after an arduous interview process. foster  however  declared himself satisfied with how the appointment was made.  the appointment of david collins  with his strong mix of leadership skills and managerial experience  is testament to the professional and detailed recruitment process   he said.
sport,fuming robinson blasts officials england coach andy robinson insisted he was  livid  after his side were denied two tries in sunday s 19-13 six nations loss to ireland in dublin.  mark cueto s first-half effort was ruled out for offside before the referee spurned tv replays when england crashed over in the dying minutes.  [i m] absolutely spitting. i m livid. there s two tries we ve been cost   robinson told bbc sport.  we ve got to go back to technology. i don t know why we didn t.  south african referee jonathan kaplan ruled that cueto was ahead of charlie hodgson when the fly-half hoisted his cross-field kick for the sale wing to gather.  kaplan then declined the chance to consult the fourth official when josh lewsey took the ball over the irish line under a pile of bodies for what could have been the game-winning try.  i think mark cueto scored a perfectly legal try and i think he should have gone to the video referee on josh lewsey   said robinson.  it is how we use the technology. it is there  and it should be used.  i am still trying to work out the cueto try. i have looked at both  and they both looked tries.  we are very disappointed  and this will hurt  there is no doubt about that.  we are upset now  but the referee is in charge and he has called it his way and we have got to be able to cope with that.   we did everything we could have done to win the game. i am very proud of my players and  with a couple of decisions  this could have been a very famous victory.  i thought we dominated. matt stevens had an awesome game at tighthead prop  while the likes of charlie hodgson  martin corry and lewis moody all came through well.  josh lewsey was awesome  and every one of the forwards stood up out there. given the pressure we were under  credit must go to all the players.  we have done everything but win a game of rugby  but ireland are a good side. they defended magnificently and they ve got every chance of winning this six nations.  england have lost their first three matches in this year s six nations and four out of their six games since robinson took over from sir clive woodward in september.
sport,mcilroy wins 800m indoor title james mcilroy motored to the aaa s indoor 800m title in sheffied on sunday in a time of one minute  47.97 seconds.  the larne athlete dominated the race from start to finish although he had to hold off a late challenge from welshman jimmy watkins in the final 100 metres.  i had to go out and go through all the gears before the europeans and i won t run again until then   said mcilroy.   i though if i got lucky i d get close to the british record but i blew up in the end.   mcilroy has been in superb form at the start of the season and will now start his build-up for the european indoors at madrid on 4-6 march. meanwhile  paul brizzel and anna boyle reached the semi-finals of the 60m hurdles with boyle setting a season s best of 7.48. in the women s 60m final  ailis mcsweeney broke michelle carroll s long-standing irish record by clocking 7.37 which left her in third place. david gillick showed that he is a genuine medal contender in the european indoor championships by claiming an impressive 400m victory. gillick was more than half-a-second clear when taking gold in 46.45 - .02 outside his personal best set in saturday s semi-finals.  the irishman is now the fastest european this season. derval o rourke broke her own irish 60m hurdles record by clocking 8.06 which left her third behind new british record holder sarah claxton (7.96). james nolan (3:46.04) took second in the men s 1500m behind neil speaight (3:45.86) but the offaly man was outside the european indoor standard. colin costello was seventh in the 1500m final in 3:48.82). deirdre ryan was second in the women s high jump with a clearance of 1.87m while aoife byrne took silver in the 800m in a personal best of 2:06.73. lisburn s kelly mcneice reid (4:31.34) was seventh in the women s 1500m while gary murray (8:11.22) was 11th in the men s 3000m. meanwhile  stephen cairns and jill shannon claimed the individual titles at saturday s northern ireland cross country championship in coleraine. cairns came in ahead of paul rowan and allan bogle in the men s race. willowfield claimed their first men s team title in 72 years while shannon helped lagan valley win the women s team honours.
sport,sa return to mauritius top seeds south africa return to the scene of one of their most embarrassing failures when they face the seychelles in the cosafa cup next month.  last year bafana bafana were humbled in the first by minnows mauritius who beat them 2-0 in curepipe. coach stuart baxter and his squad will return to curepipe face the seychelles in their first game of the new-look regional competition. the format of the event has been changed this year after the entry of the seychelles  who have taken the number of participants to 13. the teams are now divided into three group of four and play knock-out matches on successive days to determine the group champions. mauritius host the first group  and their opponents are madagascar  the seychelles and south africa. bafana bafana play the seychelles before mauritius take on madagascar in a double-header on 26 february. the two winners return to the new george v stadium the next day and the victor of the group decider advances to august s final mini-tournament. the second group will be hosted in namibia in april. it comprises zimbabwe  botswana  mozambique and the hosts. in june  former champions zambia will host lesotho  malawi and swaziland in the third group in lusaka. the three group winners will then join title holders angola for the last of the mini-tournaments in august  where the winners will be crowned.  seychelles v south africa  mauritius v madagascar  winners meet in final match  mozambique v zimbabwe  namibia v botswana  winners meet in final match  lesotho v malawi  zambia v swaziland  winners meet in final match
